Gerät,Patch Date,Patch Level Status: Compliant (Last 2 Months)
ATSE-LT-CO06,August 2025,true
ATSE-LT-CO10,August 2025,true
ATSE-LT-BH15,September 2025,true
ATSE-LT-CO22,August 2025,true
ATSE-LT-CO14,September 2025,true
ATSE-LT-BH09,September 2025,true
ATSE-LT-CO05,September 2025,true
ATSE-LT-CO09,September 2025,true
ATSE-LT-FF13,September 2025,true
ATSE-LT-REC02,September 2025,true
ATSE-LT-LV04,August 2025,true
ATSE-LT-CO18,August 2025,true
ATSE-LT-LV27,September 2025,true
ATSE-LT-FF03,September 2025,true
ATSE-LT-LV02,August 2025,true
ATSE-LT-LV13,August 2025,true
ATSE-LT-LV34,August 2025,true
ATSE-LT-FF14,September 2025,true
ATSE-LT-GFA02,August 2025,true
ATSE-LT-LV25,August 2025,true
ATSE-LT-LV30,September 2025,true
ATSE-LT-CO11,August 2025,true
ATSE-LT-GFA01,August 2025,true
ATSE-LT-LV36,August 2025,true
ATSE-LT-REC06,August 2025,true
ATSE-LT-MA10,September 2025,true
ATSE-LT-MA07,August 2025,true
ATSE-LT-BH27,September 2025,true
ATSE-LT-SV89,August 2025,true
ATSE-LT-FF08,September 2025,true
ATSE-LT-VK03,September 2025,true
ATSE-LT-SV53,September 2025,true
ATSE-LT-VK18,September 2025,true
ATSE-LT-LV31,September 2025,true
ATSE-LT-VK28,August 2025,true
ATSE-LT-VK38,September 2025,true
ATSE-LT-FF11,September 2025,true
ATSE-LT-VK12,September 2025,true
ATSE-LT-VK15,September 2025,true
ATSE-LT-SV71,September 2025,true
ATSE-LT-SV59,September 2025,true
ATSE-LT-SV11,September 2025,true
ATSE-LT-SV69,September 2025,true
ATSE-LT-SV62,August 2025,true
ATSE-LT-SV49,August 2025,true
ATSE-LT-SV03,September 2025,true
ATSE-LT-SV99,August 2025,true
ATSE-LT-SV70,September 2025,true
ATSE-LT-SV13,September 2025,true
ATGR-LT-GF03,September 2025,true
ATSE-LT-VK01,September 2025,true
ATSE-LT-SV54,September 2025,true
ATSE-LT-SV38,September 2025,true
ATSE-LT-SV18,September 2025,true
DECE-LT-DEV06,September 2025,true
ATSE-LT-SV83,September 2025,true
ATSE-LT-VK42,September 2025,true
ATSE-LT-SV06,September 2025,true
ATSE-LT-SV88,August 2025,true
ATGR-LT-ACC04,August 2025,true
ATSE-LT-VK07,April 2025,false
ATSE-LT-SV45,September 2025,true
ATSE-LT-SV01,September 2025,true
ATSE-LT-SV20,September 2025,true
HUOR-LT-OFF07,August 2025,true
ATSE-LT-VK29,September 2025,true
ATSE-LT-REC07,August 2025,true
ATSE-LT-SV22,July 2025,true
ATSE-LT-SV66,September 2025,true
ATGR-LT-ACC05,September 2025,true
ATSE-LT-SV23,September 2025,true
AUBE-LT-SW11,September 2025,true
AUBE-LT-MONT09,August 2025,true
HUOR-LT-ACC06,August 2025,true
ATSE-LT-SV14,August 2025,true
ATSE-LT-VK31,September 2025,true
ATSE-LT-VK25,August 2025,true
ATSE-LT-VK20,August 2025,true
ATSE-LT-SV32,September 2025,true
ATSE-LT-SV52,September 2025,true
ATSE-LT-SV96,September 2025,true
ATSE-LT-VK27,September 2025,true
ATSE-LT-SV79,September 2025,true
ATSE-LT-SV92,September 2025,true
ATSE-LT-LV01,August 2025,true
ATSE-LT-BH02,September 2025,true
HUOR-LT-ACC02,September 2025,true
HUOR-LT-ACC07,September 2025,true
ATSE-LT-SV12,September 2025,true
ATSE-LT-VK23,September 2025,true
ATSE-LT-FF06,September 2025,true
ATSE-LT-SV09,August 2025,true
ATSE-LT-VK08,September 2025,true
ATSE-LT-REC01,August 2025,true
ATSE-LT-VK04,August 2025,true
ATSE-LT-VK11,August 2025,true
HUOR-LT-OFF06,August 2025,true
ATSE-LT-LV28,September 2025,true
ATSE-LT-SV91,September 2025,true
ATSE-LT-VK21,September 2025,true
ATGR-LT-ACC01,September 2025,true
ATGR-LT-TECH01,August 2025,true
ATSE-LT-MA02,September 2025,true
ATSE-LT-VK14,August 2025,true
DEKA-LT-VK8,September 2025,true
DEKA-LT-VK09,September 2025,true
ATSE-LT-VK17,August 2025,true
ATSE-LT-VK30,September 2025,true
ATSE-LT-SV77,September 2025,true
ATSE-CL-DNC27,September 2025,true
DEKA-LT-VK10,September 2025,true
CZBR-CL-VK03,August 2025,true
ATSE-CL-DNC3637,September 2025,true
DEKA-LT-GF01,September 2025,true
ATSE-CL-DNC3631,August 2025,true
AUBE-LT-SV09,September 2025,true
ATSE-LT-DOKU01,August 2025,true
ATSE-LT-DOKU13,September 2025,true
ATSE-LT-DOKU17,September 2025,true
ATSE-LT-SV100,July 2025,true
DEKA-LT-SV04,September 2025,true
DEKA-LT-SV09,August 2025,true
ATSE-LT-DOKU14,September 2025,true
DEKA-LT-SV05,August 2025,true
ATSE-LT-VK24,July 2025,true
ATSE-LT-TS05,August 2025,true
ATSE-LT-PRODM03,September 2025,true
ATSE-LT-CAD055,September 2025,true
ATSE-LT-EPL14,August 2025,true
ATSE-LT-DEV22,August 2025,true
ATSE-LT-ETECH51,September 2025,true
ATSE-LT-ZOLL03,September 2025,true
ATSE-LT-TD24,September 2025,true
ATSE-LT-ETECH43,August 2025,true
ATSE-LT-ZOLL17,September 2025,true
ATSE-LT-CAD057,September 2025,true
ATSE-LT-CAD052,September 2025,true
ATSE-CL-BDE0536,September 2025,true
ATSE-LT-TD10,August 2025,true
ATSE-CL-TS02,September 2025,true
ATSE-CL-FF01,September 2025,true
ATSE-LT-ZOLL19,August 2025,true
ATSE-CL-BDE0522,September 2025,true
ATSE-LT-MAG12,August 2025,true
ATSE-LT-CAD047,September 2025,true
ATSE-LT-EK26,August 2025,true
ATSE-CL-BDE0159,August 2025,true
